"timestamp","x","y","z"
"73378420","-2.928562","1.1953803","9.318696"
"83267300","-2.928562","1.1953803","9.318696"
"93156180","-2.928562","1.1953803","9.318696"
"103045060","-2.928562","1.1953803","9.318696"
"112933940","-2.928562","1.1953803","9.318696"
"122822820","-2.928562","1.1953803","9.318696"
"132711700","-3.0411527","1.3283334","9.2504225"
"142600580","-2.9932418","1.4612865","9.134238"
"152489460","-2.9261663","1.5559108","9.056383"
"162378340","-2.8602886","1.5175819","9.105492"
"172267220","-2.784829","1.3474978","9.288752"
"182156100","-2.8243554","1.0803938","9.38697"
"192044980","-3.0148017","0.93785846","9.436078"
"201926109","-3.0806794","1.0624272","9.43488"
"211807238","-3.050735","1.2337091","9.3091135"
"221688367","-2.954913","1.5379442","9.13304"
"231569496","-2.9357486","1.7188083","9.055185"
"241458376","-2.9740775","1.6313707","9.037219"
"251347256","-3.0687017","1.5091976","9.152205"
"261236136","-3.1645238","1.3199489","9.345047"
"271125016","-3.3441901","1.2169403","9.403738"
"281013646","-3.2495658","1.2468846","9.498363"
"290902276","-3.1369748","1.111536","9.500758"
"300790906","-3.2507637","1.1295027","9.385772"
"310679536","-3.2878947","1.3283334","9.231258"
"320568416","-3.2016547","1.5271642","9.046801"
"330457296","-3.0207906","1.6385573","8.827608"
"340346176","-2.8878374","1.7331816","8.7401705"
"350235056","-2.954913","1.7319839","8.692259"
"360123936","-3.0219884","1.6157995","8.637161"
"370012816","-2.9848573","1.5571085","8.542537"
"379901696","-2.965693","1.5846574","8.419167"
"389790576","-2.9465284","1.5930419","8.361673"
"399679456","-3.089064","1.6014262","8.2562685"
"409568336","-3.2771146","1.7703127","8.005934"
"419457216","-3.40887","2.025439","7.7448187"
"429346096","-3.3992877","2.308114","7.389079"
"439234976","-3.2771146","2.351234","6.465594"
"449123856","-4.4197927","3.3561678","5.488209"
"459012736","-3.0435483","3.7526317","5.34208"
"468901616","-2.5836024","3.45199","4.500044"
"478790246","-2.7333245","3.9119358","3.8652227"
"488678876","-2.9034085","3.9850001","3.521461"
"498567506","-2.933353","3.9023535","3.1609304"
"508456136","-3.029175","3.7442472","2.8578932"
"518337515","-3.1812925","3.750236","2.590789"
"528218894","-3.425639","4.0365047","2.453045"
"538100273","-3.8316848","4.313191","2.2769718"
"547981652","-4.238929","4.4748907","2.132041"
"557878033","-4.684501","4.332355","2.1140742"
"567774414","-5.132469","3.9394846","2.099701"
"577670795","-5.6558976","3.36575","2.0877233"
"587567175","-6.28473","2.6782267","2.1344366"
"597456055","-6.8955956","1.8170259","2.1547987"
"607344935","-7.4130344","0.80969644","2.0338233"
"617233815","-7.901727","-0.21679743","1.971539"
"627122695","-8.259862","-1.7763015","2.1164699"
"637003824","-8.780894","-3.5789542","1.9978901"
"646884954","-9.576218","-5.0665917","1.7978615"
"656766083","-10.367948","-6.143392","1.4792532"
"666647212","-10.958451","-6.573394","0.84562975"
"676536092","-11.280653","-6.464396","0.3772994"
"686424972","-11.3561125","-6.149381","-0.39766157"
"696313852","-11.213577","-5.7589064","-1.1738203"
"706202732","-11.128535","-5.646315","-1.9272213"
"716091362","-11.423188","-5.57924","-2.633909"
"725979992","-12.000516","-5.364838","-3.1800947"
"735868622","-12.750323","-5.44988","-3.8185093"
"745757252","-13.653446","-5.8786836","-4.4605174"
